DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
HEA-1000,Lab Analyzer,GE Healthcare,Model-Z36,v1.1,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1001,X-Ray Machine,GE Healthcare,Model-X42,v4.2,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1002,MRI Scanner,GE Healthcare,Model-Z17,v3.9,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1003,MRI Scanner,Philips,Model-Y46,v3.2,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1004,MRI Scanner,Drager,Model-X41,v4.6,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1005,Lab Analyzer,Medtronic,Model-Y47,v4.7,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1006,Infusion Pump,Philips,Model-Z36,v2.3,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1007,Lab Analyzer,Medtronic,Model-Y53,v0.0,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1008,Infusion Pump,Drager,Model-Y52,v2.9,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1009,X-Ray Machine,GE Healthcare,Model-Z9,v0.2,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1010,Infusion Pump,Medtronic,Model-X71,v4.3,2021-01-01,Zone-2,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1011,Infusion Pump,Drager,Model-Z87,v0.4,2021-01-01,Zone-2,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
HEA-1012,Lab Analyzer,GE Healthcare,Model-X23,v4.3,2021-01-01,Zone-2,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
