DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
RET-1000,Self-Checkout Kiosk,Verifone,Model-Z5,v3.4,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1001,Smart Shelf,Samsung,Model-Z30,v2.9,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1002,Inventory Scanner,Verifone,Model-Z86,v2.9,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1003,Smart Shelf,Toshiba,Model-X95,v3.5,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1004,POS Terminal,Zebra,Model-Z71,v1.7,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1005,Digital Signage,Verifone,Model-Y88,v3.5,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1006,Self-Checkout Kiosk,Verifone,Model-X81,v4.8,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1007,Smart Shelf,Zebra,Model-X36,v1.5,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1008,Digital Signage,Samsung,Model-X47,v3.0,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1009,Digital Signage,Zebra,Model-Y71,v1.1,2025-12-11,Zone-1,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1010,Self-Checkout Kiosk,Toshiba,Model-X25,v0.1,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1011,POS Terminal,Samsung,Model-Y87,v2.8,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1012,Digital Signage,Samsung,Model-Y99,v3.9,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
RET-1013,Smart Shelf,Zebra,Model-Z49,v4.0,2025-12-11,Zone-2,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
