DeviceID,DeviceType,Manufacturer,Model,FirmwareVersion,LastPatched,Location,NetworkSegment,AuthMethod,Encryption,OpenPorts,TrafficAnomaly,Criticality,Status,RiskFactor
MAN-1000,Robotic Arm,Rockwell,Model-X37,v1.8,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1001,Industrial Gateway,Fanuc,Model-X2,v1.3,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1002,CNC Machine,Rockwell,Model-Z69,v0.3,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1003,Industrial Gateway,Siemens,Model-X98,v3.6,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1004,CNC Machine,Schneider Electric,Model-Y34,v0.9,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1005,CNC Machine,Fanuc,Model-X87,v1.5,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1006,PLC Controller,Fanuc,Model-Y12,v0.9,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1007,Robotic Arm,Rockwell,Model-Y45,v2.1,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1008,HVAC Controller,Siemens,Model-X54,v2.5,2021-01-01,Zone-1,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1009,CNC Machine,Siemens,Model-X40,v2.9,2021-01-01,Zone-1,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1010,PLC Controller,Rockwell,Model-Y40,v4.3,2021-01-01,Zone-2,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1011,CNC Machine,Siemens,Model-Y65,v0.1,2021-01-01,Zone-2,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1012,PLC Controller,Rockwell,Model-Z99,v0.5,2021-01-01,Zone-2,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1013,HVAC Controller,Siemens,Model-Y85,v0.8,2021-01-01,Zone-2,Corporate-LAN,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1014,Conveyor Sensor,Rockwell,Model-X34,v0.3,2021-01-01,Zone-2,Public-Wifi,DefaultPassword,None,"23, 80, 445",High Outbound,Critical,Compromised,AuthWeakness
MAN-1015,Robotic Arm,Schneider Electric,Model-X99,v3.6,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1016,HVAC Controller,Rockwell,Model-Z62,v4.3,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1017,Robotic Arm,Fanuc,Model-Z5,v1.5,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1018,PLC Controller,Siemens,Model-Y5,v1.2,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1019,Industrial Gateway,Siemens,Model-X43,v1.3,2022-05-15,Zone-2,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1020,HVAC Controller,Rockwell,Model-Y48,v3.4,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1021,Conveyor Sensor,Fanuc,Model-X92,v3.0,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1022,Conveyor Sensor,Schneider Electric,Model-Z89,v2.2,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1023,HVAC Controller,Rockwell,Model-X52,v2.3,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1024,HVAC Controller,Fanuc,Model-Z98,v0.8,2022-05-15,Zone-3,VLAN-10,WeakPassword,WEP,"80",None,High,Warning,VulnerableFirmware
MAN-1025,Conveyor Sensor,Schneider Electric,Model-Z46,v2.3,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1026,Industrial Gateway,Rockwell,Model-Y50,v4.5,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1027,Robotic Arm,Rockwell,Model-Z58,v3.6,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1028,HVAC Controller,Fanuc,Model-Z38,v1.8,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1029,Conveyor Sensor,Siemens,Model-Z32,v4.7,2025-12-11,Zone-3,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1030,Conveyor Sensor,Fanuc,Model-X70,v2.7,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1031,Robotic Arm,Schneider Electric,Model-Z0,v0.2,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1032,Conveyor Sensor,Schneider Electric,Model-Y32,v3.5,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1033,Industrial Gateway,Fanuc,Model-X55,v1.7,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1034,CNC Machine,Rockwell,Model-Z42,v4.3,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1035,Conveyor Sensor,Schneider Electric,Model-Y14,v4.6,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1036,Industrial Gateway,Siemens,Model-Y91,v0.1,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1037,PLC Controller,Schneider Electric,Model-Z89,v4.6,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1038,Industrial Gateway,Siemens,Model-Z63,v2.1,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1039,Robotic Arm,Schneider Electric,Model-X76,v3.4,2025-12-11,Zone-4,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1040,Robotic Arm,Rockwell,Model-Z91,v1.6,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1041,Robotic Arm,Fanuc,Model-X69,v2.5,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1042,Robotic Arm,Schneider Electric,Model-X21,v3.4,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1043,PLC Controller,Schneider Electric,Model-Y10,v3.4,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1044,PLC Controller,Fanuc,Model-Z60,v4.0,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1045,HVAC Controller,Siemens,Model-Z11,v3.8,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1046,Conveyor Sensor,Fanuc,Model-Y36,v4.8,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1047,PLC Controller,Rockwell,Model-X11,v1.1,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1048,Industrial Gateway,Siemens,Model-X18,v1.9,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
MAN-1049,PLC Controller,Rockwell,Model-Z91,v0.0,2025-12-11,Zone-5,Secure-VLAN,MFA/Cert,AES-256,"443",None,Low,Active,None
